longitude,latitude,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,total_CO2e_20yrGWP,total_CO2e_100yrGWP
-72.0,-42.5,7349.239606176,89.7617051136,0.8630933184,14873.514537323521,10089.215654768639
-65.0,-40.75,503.591759424,6.1507390464,0.0591417216,1019.17745998848,691.34306881536
-66.0,-38.75,282.11244048,3.445648128,0.033131232,570.9438948096,387.2908495872
-58.0,-38.25,10276.471973664,125.5141615104,1.2068669376,20797.69656227328,14107.79175376896
-57.0,-36.75,951.60315744,11.622633984,0.111756096,1925.8704511488,1306.3840598016
-57.0,-36.5,133.056016704,1.6251116544,0.0156260736,269.28100113408004,182.66254995456
-56.75,-36.5,160.00407072,1.954248192,0.018790848,323.8189254144,219.6574967808
-57.0,-36.25,1797.94047888,21.959578368,0.211149792,3638.7021355776,2468.2566085631997
-57.5,-36.0,5120.1302630400005,62.535942144,0.601307136,10362.205613260801,7029.0398969856005
-61.0,-35.75,1600.882833888,19.5527674368,0.1880073792,3239.89356427776,2197.73105989632
-60.75,-35.75,5062.865648256,61.836527001600004,0.5945819904,10246.31252416512,6950.42563497984
-60.25,-35.75,1409.7200757119997,17.217955123199996,0.1655572608,2853.0151639142396,1935.2981558476795
-60.0,-35.75,1145.29229568,13.988302848,0.134502912,2317.8617819136007,1572.2852401152
-57.5,-35.75,260.217146592,3.1782246912,0.0305598528,526.6318313318401,357.23245529088
-59.0,-35.25,37.053574272,0.4525627392,0.0043515648,74.98964588544,50.868051886079996
-60.75,-34.75,1646.35767504,20.108185344000002,0.193347936,3331.9263115008002,2260.1600326656003
-58.25,-34.75,130.52963664,1.594255104,0.015329376,264.16807073280006,179.1942736896
-59.0,-34.25,114.529229568,1.3988302848,0.0134502912,231.78617819136002,157.22852401152
-58.75,-34.0,567.593387712,6.9324383231999995,0.0666580608,1148.7050301542401,779.2060675276799
-59.75,-33.75,240.00610608,2.931372288,0.028186272,485.7283881216,329.4862451712
-60.25,-33.5,3854.413850976,47.0768103936,0.4526616384,7800.62748221952,5291.43348824064
