start_date,end_date,asset_identifier,asset_name,iso3_country,location,type,capacity,capacity_factor,activity,CO2_emissions_factor,CH4_emissions_factor,N2O_emissions_factor,other_gas_emissions_factor,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,other_gas_emissions,total_CO2e_20yrGWP,total_CO2e_100yrGWP,other1,other2,other3
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-65.125 -40.875, -65.125 -40.625, -64.875 -40.625, -64.875 -40.875, -65.125 -40.875))",Peatland,6.51,6868,5.0,1700,20.8,0.2,,548.224473888,6.695871436799999,0.06438337920000001,,1109.50589707776,752.6159494963199,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-66.375 -39.375, -66.375 -39.125, -66.125 -39.125, -66.125 -39.375, -66.375 -39.375))",Peatland,101.89,6868,1.0,1700,20.8,0.2,,8580.428824032,104.7991306752,1.0076839488,,17365.21595288064,11779.422287892481,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-67.625 -39.125, -67.625 -38.875, -67.375 -38.875, -67.375 -39.125, -67.625 -39.125))",Peatland,0.65,6868,1.0,1700,20.8,0.2,,54.73823472,0.668558592,0.006428448000000001,,110.7801586944,75.1459857408,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-61.375 -38.875, -61.375 -38.625, -61.125 -38.625, -61.125 -38.875, -61.375 -38.875))",Peatland,8.11,6868,1.0,1700,20.8,0.2,,682.9647439679999,8.341554124799996,0.08020725119999997,,1382.19551847936,937.59068362752,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-57.625 -36.125, -57.625 -35.875, -57.375 -35.875, -57.375 -36.125, -57.625 -36.125))",Peatland,3.27,6868,1.0,1700,20.8,0.2,,275.37542697599997,3.3633639936,0.0323400384,,557.3094137395201,378.04211288064005,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-58.125 -35.125, -58.125 -34.875, -57.875 -34.875, -57.875 -35.125, -58.125 -35.125))",Peatland,2.48,6868,1.0,1700,20.8,0.2,,208.84741862400003,2.5508081664,0.0245270016,,422.66891317248,286.71083790336,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-59.375 -34.125, -59.375 -33.875, -59.125 -33.875, -59.125 -34.125, -59.375 -34.125))",Peatland,40.0,6868,4.0,1700,20.8,0.2,,3368.506752000001,41.142067200000014,0.3955968000000001,,6817.240535040002,4624.368353280001,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-59.125 -34.125, -59.125 -33.875, -58.875 -33.875, -58.875 -34.125, -59.125 -34.125))",Peatland,28.8,6868,3.0,1700,20.8,0.2,,2425.32486144,29.622288384,0.284829696,,4908.4131852288,3329.5452143616,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-59.375 -33.875, -59.375 -33.625, -59.125 -33.625, -59.125 -33.875, -59.375 -33.875))",Peatland,277.09,6868,27.0,1700,20.8,0.2,,23334.488397792004,285.0013850112,2.7403979328,,47224.72949635584,32034.15567525888,,,
2015-12-01,2015-12-31,,,ARG,"POLYGON ((-58.875 -33.875, -58.875 -33.625, -58.625 -33.625, -58.625 -33.875, -58.875 -33.875))",Peatland,27.82,6868,5.0,1700,20.8,0.2,,2342.796446016,28.6143077376,0.27513757440000003,,4741.390792120321,3216.24818970624,,,
