longitude,latitude,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,total_CO2e_20yrGWP,total_CO2e_100yrGWP
-67.25,-54.5,1957.102422912,23.9035410432,0.2298417408,3960.81675085824,2686.75801325568
-63.0,-40.5,3088.920691584,37.7272756224,0.3627622656,6251.40957063168,4240.54577995776
-65.5,-39.5,284.638820544,3.4765046784,0.0334279296,576.0568252108801,390.75912585215997
-67.25,-39.0,45.47484115200001,0.5554179072000002,0.0053405568,92.03274722304003,62.428972769280016
-60.0,-38.25,1334.7708004800002,16.302544128,0.156755232,2701.3315620096,1832.4059599871998
-57.5,-36.5,973.498451328,11.8900574208,0.1143274752,1970.18251462656,1336.4424540979198
-57.0,-36.5,170.95171766399997,2.0879599103999995,0.0200765376,345.97495715327995,234.68669392895993
-56.75,-36.5,518.750039808,6.3358783488,0.0609219072,1049.8550423961601,712.1527264051201
-57.0,-36.25,649.279676448,7.9301334528,0.0762512832,1314.0231131289602,891.34700009472
-58.5,-35.75,176.00447779199996,2.1496730111999995,0.0206699328,356.2008179558399,241.62324645887992
-57.5,-35.75,916.233836544,11.1906422784,0.1076023296,1854.2894255308802,1257.82819209216
-62.75,-34.5,539.803207008,6.5930162688,0.0633943872,1092.46279574016,741.0550286131199
-62.5,-34.25,1529.302065408,18.6784985088,0.1796009472,3095.0272029081602,2099.46323238912
-61.75,-34.25,1973.102829984,24.0989658624,0.2317208256,3993.19864339968,2708.72376293376
-58.75,-34.25,698.9651510400001,8.536978944000001,0.082086336,1414.5774110208004,959.5564333056001
-59.25,-34.0,1098.133201152,13.4123139072,0.1289645568,2222.4204144230403,1507.5440831692802
-59.0,-34.0,156.635563968,1.9131061248,0.0183952512,317.00168487936,215.03312842752
-59.5,-33.75,1945.31264928,23.759543808,0.228457152,3936.9564089856003,2670.5727240192
-59.25,-33.75,5082.234562080001,62.073093888,0.596856672,10285.511657241601,6977.0157530112
-60.25,-33.5,2373.955133472,28.9948718592,0.2787968448,4804.45026706944,3259.02359697408
-59.75,-33.5,3152.9223198719997,38.5089748992,0.3702786048,6380.9371407974395,4328.408778670079
-60.25,-33.25,18760.056228576,229.1304577536,2.2031774784,37966.91684977152,25754.26345150464
-60.5,-33.0,214.74230544,2.622806784,0.025219296,434.5990841088,294.8034825216
-60.25,-33.0,645.911169696,7.8889913856,0.0758556864,1307.20587259392,886.72263174144
-60.25,-32.75,1530.144192096,18.6887840256,0.1796998464,3096.73151304192,2100.61932447744
-60.75,-32.5,148.214297088,1.8102509567999998,0.0174062592,299.95858354176,203.47220754431999
-60.25,-32.5,450.53777808,5.502751488,0.052911072,911.8059215616,618.5092672512
-60.75,-31.75,1153.71356256,14.091158016000001,0.135491904,2334.9048832512,1583.8461609984001
-60.0,-31.25,831.179041056,10.1518050816,0.0976135104,1682.1541020211198,1141.06289117184
-58.0,-31.0,278.743933728,3.4045060608,0.0327356352,564.1266542745601,382.66648123392
-60.0,-30.75,538.118953632,6.572445235199999,0.0631965888,1089.0541754726398,738.7428444364799
-59.75,-30.75,1590.777313632,19.4293412352,0.1868205888,3219.44184267264,2183.85795483648
-65.5,-30.5,186.95212473600003,2.2833847296000003,0.0219556224,378.3568496947201,256.65244360704
-60.0,-30.5,577.698907968,7.0558645248,0.0678448512,1169.15675175936,793.0791725875199
-63.0,-30.25,504.433886112,6.1610245632,0.0592406208,1020.88177012224,692.49916090368
-62.75,-30.25,5760.14654592,70.352934912,0.676470528,11657.481314918401,7907.669884108799
-62.5,-30.25,498.53899929600004,6.0890259455999995,0.0585483264,1008.95159918592,684.4065162854399
-59.75,-30.25,228.216332448,2.7873750528,0.0268016832,461.86804624896,313.30095593472
-63.0,-30.0,112.002849504,1.3679737344,0.0131535936,226.67324779007998,153.76024774655997
-62.75,-30.0,1802.993239008,22.0212914688,0.2117431872,3648.92799638016,2475.1931610931197
-62.5,-30.0,515.3815330560001,6.2947362816000005,0.0605263104,1043.03780186112,707.5283580518401
-59.75,-30.0,1520.880798528,18.5756433408,0.1786119552,3077.98410157056,2087.90231150592
-63.0,-29.75,4436.323392384,54.1841025024,0.5210009856,8978.30578464768,6090.29312126976
-62.75,-29.75,3104.0789719679997,37.9124149248,0.3645424512,6282.08715303936,4261.35543754752
-62.25,-29.75,387.37827648,4.731337728,0.045493632,783.9826615296,531.8023606272001
-61.5,-29.75,330.113661696,4.0319225856,0.0387684864,668.08957243392,453.18809862144
-59.75,-29.75,2679.6471212160004,32.7285144576,0.3146972544,5423.11484562432,3678.6850250342404
-62.25,-29.5,817.7050140480001,9.9872368128,0.0960311232,1654.8851398809602,1122.56541775872
-60.75,-29.5,114.529229568,1.3988302848,0.0134502912,231.78617819136002,157.22852401152
-59.75,-29.5,158.319817344,1.9336771584,0.0185930496,320.41030514688,217.34531260416
-59.5,-29.25,554.961487392,6.778155571199999,0.0651745728,1123.14037814784,761.86468620288
-59.25,-29.25,659.385196704,8.0535596544,0.0774380736,1334.47483473408,905.2201051545601
-57.25,-29.0,449.695651392,5.4924659712,0.0528121728,910.10161142784,617.35317516288
-60.5,-28.75,2708.2794286079998,33.0782220288,0.3180598272,5481.06139017216,3717.99215603712
-59.25,-28.75,3021.5505565440003,36.904434278400004,0.3548503296,6115.064759930881,4148.05841289216
-58.0,-28.75,1254.76876512,15.325420032,0.147359808,2539.4220993024,1722.5772115968
-60.75,-28.5,11421.764269344001,139.5024643584,1.3413698496000002,23115.55834418688,15680.07699388416
-60.5,-28.5,8566.112670336,104.6242768896,1.0060026624,17336.24268060672,11759.76872239104
-60.25,-28.5,2107.843100064,25.7446485504,0.2475446976,4265.8882648012805,2893.69849706496
-59.0,-28.5,427.800357504,5.2250425344,0.0502407936,865.78954795008,587.29478086656
-58.0,-28.5,325.903028256,3.9804950016000005,0.0382739904,659.5680217651202,447.40763817984003
-60.75,-28.25,35601.747861888,434.8305082368,4.1810625792,72051.41521483776,48874.94912581632
-60.5,-28.25,620.647369056,7.5804258816,0.0728887104,1256.07656858112,852.03986909184
-59.0,-28.25,1140.239535552,13.926589747200001,0.1339095168,2307.6359211110403,1565.34868758528
-58.0,-28.25,299.797100928,3.6616439808,0.0352081152,606.73440761856,411.56878344192
-57.75,-28.25,520.434293184,6.3564493824,0.0611197056,1053.2636626636802,714.46491058176
-61.5,-28.0,176.00447779199996,2.1496730111999995,0.0206699328,356.2008179558399,241.62324645887992
-59.0,-28.0,461.485425024,5.6364632064,0.0541967616,933.96195330048,633.53846439936
-61.5,-27.75,704.860037856,8.6089775616,0.0827786304,1426.5075819571198,967.64907792384
-58.75,-27.5,2460.6941823360003,30.0542800896,0.2889834624,4979.99421084672,3378.10108207104
-58.25,-27.5,7740.828516096,94.5444704256,0.9090814463999999,15666.01874952192,10626.798475837439
-57.75,-27.5,2196.266402304,26.8246278144,0.2579291136,4444.84082884608,3015.08816633856
-57.5,-27.5,161.688324096,1.9748192256000001,0.0189886464,327.22754568192,221.96968095744
-57.25,-27.5,405.905063616,4.9576190976,0.0476694144,821.47748447232,557.23638657024
-58.25,-27.25,1129.2918886080001,13.7928780288,0.1326238272,2285.47988937216,1550.31949043712
-59.25,-27.0,804.2309870400001,9.822668544,0.094448736,1627.6161777408001,1104.0679443456002
-59.0,-27.0,12252.9433104,149.65426944,1.43898336,24797.712446208,16821.139885056
